route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
401,NMBS/SNCB,S3,Termonde -- Denderleeuw,,100,,,
402,NMBS/SNCB,S3,Enghien -- Denderleeuw,,100,,,
403,NMBS/SNCB,S3,Bruxelles-Midi -- Denderleeuw,,100,,,
404,NMBS/SNCB,S3,Hal -- Denderleeuw,,100,,,
405,NMBS/SNCB,S3,Grammont -- Denderleeuw,,100,,,
406,NMBS/SNCB,S3,Bruxelles-Nord -- Grammont,,100,,,
407,NMBS/SNCB,S3,Bruxelles-Nord -- Hal,,100,,,
408,NMBS/SNCB,S3,Bruxelles-Nord -- Termonde,,100,,,
409,NMBS/SNCB,S3,Bruxelles-Midi -- Grammont,,100,,,
41,NMBS/SNCB,BUS,Menin -- Comines,,700,,,
410,NMBS/SNCB,S3,Enghien -- Grammont,,100,,,
411,NMBS/SNCB,S3,Hal -- Grammont,,100,,,
412,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Courtrai,,103,,,
413,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Denderleeuw,,103,,,
414,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Zottegem,,103,,,
415,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Ostende,,103,,,
416,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Lichtervelde,,103,,,
417,NMBS/SNCB,IC,Bruxelles-Midi -- Courtrai,,103,,,
418,NMBS/SNCB,IC,Ostende -- Denderleeuw,,103,,,
419,NMBS/SNCB,IC,Lichtervelde -- Courtrai,,103,,,
42,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Zottegem,,700,,,
420,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Audenarde,,103,,,
421,NMBS/SNCB,S32,Anvers-Central -- Essen,,100,,,
422,NMBS/SNCB,S32,Anvers-Central -- Puurs,,100,,,
423,NMBS/SNCB,S32,Essen -- Puurs,,100,,,
424,NMBS/SNCB,S32,Anvers-Berchem -- Essen,,100,,,
425,NMBS/SNCB,S32,Anvers-Berchem -- Puurs,,100,,,
426,NMBS/SNCB,IC,Bruxelles-Midi -- Liège-Saint-Lambert,,103,,,
427,NMBS/SNCB,IC,Liège-Guillemins -- Tournai,,103,,,
